In Java's regular expressions, '\d' looks for __	digits	
What is the result?<div><br /><div align="left"><code><br><div>public class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public int pub_i = 1;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>int pub_d = 2;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>protected int pub_p = 3;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>private int pub_pr = 4;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span></div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>new Example().foo();</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>void foo() {</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>class bar {</div><div>&nbsp;&nbsp; &nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>void print() {</div><div>&nbsp;&nbsp; &nbsp; &nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(pub_i);</div><div>&nbsp;&nbsp; &nbsp; &nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(pub_d);</div><div>&nbsp;&nbsp; &nbsp; &nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(pub_p);</div><div>&nbsp;&nbsp; &nbsp; &nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(pub_pr);</div><div>&nbsp;&nbsp; &nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>new bar().print();</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div><br></code></div></div>	1<div>2</div><div>3</div><div>4</div>	
What is the result?<div><br /><div align="left"><code><br><div>public class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>new Example().foo();</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>void foo() {</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>int xyz = 789;</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>class bar {</div><div>&nbsp;&nbsp; &nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>void print() {</div><div>&nbsp;&nbsp; &nbsp; &nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(xyz);</div><div>&nbsp;&nbsp; &nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>new bar().print();</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div><br></code></div></div>	compile error<div><br /></div><div>local variable xyz is accessed from within inner class</div>	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div>public class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>new Example().foo();</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;void foo() {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>final int xyz = 789;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;class bar {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;void print() {</div><div>&nbsp;&nbsp; &nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(xyz);</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;}</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;new bar().print();</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;}</div><div>}</div></div></code></div></div></span>	789	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div>public class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>new Example().foo();</div><div>&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>}</div><div>&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>void foo() {</div><div><span class="Apple-tab-span" style="white-space: pre; "> </span>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>static int xyz = 789;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>&nbsp;&nbsp;class bar {</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>&nbsp;&nbsp;&nbsp;void print() {&nbsp;System.out.println(xyz);&nbsp;}</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>&nbsp;}</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>new bar().print();</div><div><span class="Apple-tab-span" style="white-space: pre; "> </span>&nbsp;}</div><div>}</div></div></code></div></div></span>	compile error<div><br /></div><div>local variables cannot be marked static</div>	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div>public class Example {</div><div><span class="Apple-tab-span" style="white-space: pre; "> </span>public static void main(String[] args) {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>new Example().foo();</div><div><span class="Apple-tab-span" style="white-space: pre; "> </span>}</div><div><span class="Apple-tab-span" style="white-space: pre; "> </span>void foo() {</div><div><span class="Apple-tab-span" style="white-space: pre; "> </span>&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>public int xyz = 789;</div><div><span class="Apple-tab-span" style="white-space: pre; "> </span>&nbsp;class bar {</div><div><span class="Apple-tab-span" style="white-space: pre; "> </span>&nbsp;&nbsp;void print() {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>System.out.println(xyz);</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>}</div><div><span class="Apple-tab-span" style="white-space: pre; "> </span>&nbsp;}</div><div>&nbsp;<span class="Apple-tab-span" style="white-space: pre; "> </span>new bar().print();</div><div><span class="Apple-tab-span" style="white-space: pre; "> </span>}</div><div>}</div></div></code></div></div></span>	compile error<div><br /></div><div>local variables cannot be marked public</div>	
What is the contents of the file 'abc.txt' after the following is run?<br /><div><br /><div align="left"><code><br><div>import java.io.*;</div><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) throws IOException {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;Writer out = new FileWriter("abc.txt");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>out.write("howdy");</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;out.close();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Writer out2 = new FileWriter("abc.txt");</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;out2.write(" partner");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>out2.close();</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;}</div><div>}</div><br></code></div></div>	&nbsp;partner	
<span style=" font-style: normal; font-weight: normal;">What is the contents of the file 'abc.txt' after the following is run?<br /><div><br /><div align="left"><code><div><div>import java.io.*;</div><div>class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) throws IOException {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>Writer out = new FileWriter("abc.txt");</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>out.write("howdy");</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>out.close();</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>Writer out2 = new FileWriter("abc.txt", true);</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>out2.write(" partner");</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>out2.close();</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></div></code></div></div></span>	howdy partner	
<span style=" font-style: normal; font-weight: normal;">What is the contents of the file 'abc.txt' after the following is run?<br /><div><br /><div align="left"><code><div><div><div>import java.io.*;</div><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) throws IOException {</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;Writer out = new FileWriter("abc.txt");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>out.write("howdy");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>out.close();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Writer out2 = new FileWriter("abc.txt", false);</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;out2.write(" partner");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>out2.close();</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></div></div></code></div></div></span>	&nbsp;partner	
<span style=" font-style: normal; font-weight: normal;">What is the contents of the file 'abc.txt' after the following is run?<br /><div><br /><div align="left"><code><div><div>import java.io.*;</div><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) throws IOException {</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;Writer out = new FileWriter("abc.txt");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>out.write("howdy");</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;out.close();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Writer out2 = new FileWriter("abc.txt");</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;out2.append(" partner");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>out2.close();</div><div>}&nbsp;}</div></div></code></div></div></span>	&nbsp;partner	
Locale()<div><br /></div><div>is a correct way to construct a Locale object. T/F</div>	false	
<span style=" font-style: normal; font-weight: normal;">Locale(String language)<div><br /></div><div>is a correct way to construct a Locale object. T/F</div></span>	true	
<div>Locale(String language, String country)</div><div><br /></div><div>is a correct way to construct a Locale object. T/F</div>	true	
<div>Locale(String language, String country, String variant)</div><div><br /></div><div>is a correct way to construct a Locale object. T/F</div>	true	
<div>Locale(String country, String language)</div><div><br /></div><div>is a correct way to construct a Locale object. T/F</div>	false<div><br /></div><div>Local(String language, String country)</div>	
What is the result?<div><br /><div align="left"><code><br><div>class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;Boolean b = new Boolean("TruE");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>if(b)</div><div>&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println("true");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>else</div><div>&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println("false");</div><div>} }</div></code></div></div>	true	
